Number of Participants,Duration of Program/HR,Staffs,Program_Competition,Program_Modeling,Program_Seminar,Program_Sport,Program_Training,Program_Workshop,Month_January,Month_February,Month_March,Month_April,Month_May,Month_June,Month_July,Month_August,Month_September,Month_October,Month_November,Month_December,Budget
29,13,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14700
8,4,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7200
87,6,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49600
15,8,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7400
43,12,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,29500
50,10,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,34000
33,7,5,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,20000
72,12,11,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,46000
27,6,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,14500
60,9,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,35500
18,5,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7800
45,11,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27800
39,8,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,22000
55,10,8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,38000
24,6,4,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,10200
